"FundCode"	"Date"	"CCYExposure"
"9698"	"SKSPEC3"	2014-10-28	0.0373421346410997
"9699"	"SKSPEC4"	2014-10-28	0.0355655942313718
"9700"	"SKSPEC5"	2014-10-28	0.0366070895572302
"9701"	"SKSPEC6"	2014-10-28	0.0356673408813396
"9702"	"SKSPEC7"	2014-10-28	0.0366485681128727
"9703"	"SKSPEC8"	2014-10-28	0.0396018057545515
"9704"	"SKSTRATBND"	2014-10-28	0.181219269073808
"9705"	"SKUKCONST"	2014-10-28	0.000505377265022859
"9706"	"SKUKOPP"	2014-10-28	0.00013900165655094
"9707"	"SKUSCAPGR"	2014-10-28	0.085839441019818
"9708"	"SMFO"	2014-10-28	0.14633428364582
"9709"	"SMID"	2014-10-28	0.00117312366608742
"9710"	"TEWK"	2014-10-28	0.00710419384925775
"9711"	"U7"	2014-10-28	1.00027277296291
"9712"	"UKALPBAROFF"	2014-10-28	0.000512103839798183
"9713"	"UKALPBARONSA"	2014-10-28	0.000475071346112136
"9714"	"UKALPBARONSB"	2014-10-28	0.000510258796697166
"9715"	"UKDEFOS"	2014-10-28	1.46144796442791e-08
"9716"	"UKMCO"	2014-10-28	2.32390318488776e-05
"9717"	"UKOPP"	2014-10-28	0.000559180894256025
"9718"	"UKSEF"	2014-10-28	0.000281703034002752
"9719"	"UKSEO"	2014-10-28	0.00064297298418064
"9720"	"UKSSO"	2014-10-28	0
"9721"	"VGDEOMUK"	2014-10-28	0.00049616443233847
"9722"	"FOUNDUKEQ"	2014-10-29	0.00140737801507431
"9723"	"FRGBF"	2014-10-29	0.52611636251113
"9724"	"GEAR"	2014-10-29	0.0196268208347331
"9725"	"GEFO"	2014-10-29	0.900599085002846
"9726"	"GSAF"	2014-10-29	0.0255671045144042
"9727"	"GSAFLF"	2014-10-29	0.0246567980701835
"9728"	"GSBO"	2014-10-29	0.516143897826866
"9729"	"HBOS"	2014-10-29	1.00491942684041
"9730"	"JSFO"	2014-10-29	0.996236911037879
"9731"	"MIHYB"	2014-10-29	0.0240190906245249
"9732"	"NAEO"	2014-10-29	0.992087105045601
"9733"	"OMDUS"	2014-10-29	0.000607389744746571
"9734"	"OMGB"	2014-10-29	0.111319878178767
"9735"	"OMTSY"	2014-10-29	0
"9736"	"OMUKALPHA"	2014-10-29	0.000691419692093488
"9737"	"SFSYPT"	2014-10-29	0.988117864707136
"9738"	"SKAN"	2014-10-29	2.41223269090504e-08
"9739"	"SKASIANEQ"	2014-10-29	1.00879926248146
"9740"	"SKDIV"	2014-10-29	0.0568434549111935
"9741"	"SKEUREQ"	2014-10-29	0.469866217412396
"9742"	"SKGBLBND"	2014-10-29	0.450490253047361
"9743"	"SKGEN34"	2014-10-29	0.0515946958215431
"9744"	"SKGEN36"	2014-10-29	0.0589799571576725
"9745"	"SKGEN44"	2014-10-29	0.0490974449133591
"9746"	"SKGEN46"	2014-10-29	0.0490172641482385
"9747"	"SKGEQ"	2014-10-29	0.449825585748551
"9748"	"SKINTDIV"	2014-10-29	0.297450666777508
"9749"	"SKINTGRW"	2014-10-29	0.254682029241633
"9750"	"SKJPNEQ"	2014-10-29	0.229017071825316
"9751"	"SKPACEQ"	2014-10-29	1.09378768110053
"9752"	"SKSPEC3"	2014-10-29	0.0375537523077475
"9753"	"SKSPEC4"	2014-10-29	0.0358942233824548
"9754"	"SKSPEC5"	2014-10-29	0.0370994856681345
"9755"	"SKSPEC6"	2014-10-29	0.0362126922050093
"9756"	"SKSPEC7"	2014-10-29	0.0373497468040502
"9757"	"SKSPEC8"	2014-10-29	0.0403176323537912
"9758"	"SKSTRATBND"	2014-10-29	0.18181165519882
"9759"	"SKUKCONST"	2014-10-29	0.000499623585316337
"9760"	"SKUKOPP"	2014-10-29	0.000137856249044463
"9761"	"SKUSCAPGR"	2014-10-29	0.086219249927111
"9762"	"SMFO"	2014-10-29	0.144984387539278
"9763"	"SMID"	2014-10-29	0.00108893320190646
"9764"	"TEWK"	2014-10-29	0.00802649141546593
"9765"	"U3"	2014-10-29	0
"9766"	"U7"	2014-10-29	1.00158263050678
"9767"	"UKALPBAROFF"	2014-10-29	0.000506882650478809
"9768"	"UKALPBARONSA"	2014-10-29	0.000470330339274345
"9769"	"UKALPBARONSB"	2014-10-29	0.000505118513387313
"9770"	"UKDEFOS"	2014-10-29	1.44857480613538e-08
"9771"	"UKMCO"	2014-10-29	2.304917773349e-05
"9772"	"UKOPP"	2014-10-29	0.000554832788995743
"9773"	"UKSEF"	2014-10-29	0.000280855968865842
"9774"	"UKSEO"	2014-10-29	0.000635543408495802
"9775"	"UKSSO"	2014-10-29	0
"9776"	"VGDEOMUK"	2014-10-29	0.000491127926995555
"9777"	"VGDEOMUK"	2014-10-31	0.000492109911372797
"9843"	"UKSSO"	2014-11-10	0
"9854"	"VGDEOMUK"	2014-11-10	0.000496727971935807
"11233"	"FOUND3GTAA"	2014-11-05	1.59776333872847
"11234"	"OMDUS"	2014-11-12	0.000616004199284856
"11235"	"OMGB"	2014-11-12	0.0822821553661985
"11236"	"OMTSY"	2014-11-12	0
"11237"	"OMUKALPHA"	2014-11-12	0.000540382345310678
"11238"	"SFSYPT"	2014-11-12	0.999043847482815
"11239"	"SKAN"	2014-11-12	2.25531515216535e-08
"11240"	"SKASIANEQ"	2014-11-12	1.00490051378498
"11241"	"SKDIV"	2014-11-12	0.0565890744801216
"11242"	"SKEUREQ"	2014-11-12	0.461146682439159
"11243"	"SKGBLBND"	2014-11-12	0.445867665664611
"11244"	"SKGEN34"	2014-11-12	0.0506867951487194
"11245"	"SKGEN36"	2014-11-12	0.0563034090416149
"11246"	"SKGEN44"	2014-11-12	0.0489355719754647
"11247"	"SKGEN46"	2014-11-12	0.0472270551654351
"11248"	"SKGEQ"	2014-11-12	0.442623953139176
"11249"	"SKINTDIV"	2014-11-12	0.288539074235944
"11250"	"SKINTGRW"	2014-11-12	0.246006517982952
"11251"	"SKJPNEQ"	2014-11-12	0.276835376140704
"11252"	"SKPACEQ"	2014-11-12	1.0053701558272
"11253"	"SKSPEC3"	2014-11-12	0.0390189730088971
"11254"	"SKSPEC4"	2014-11-12	0.0373650342536272
"11255"	"SKSPEC5"	2014-11-12	0.0391047650025081
"11256"	"SKSPEC6"	2014-11-12	0.0382085473651423
"11257"	"SKSPEC7"	2014-11-12	0.0393462438020833
"11258"	"SKSPEC8"	2014-11-12	0.0423037418002495
"11259"	"SKSTRATBND"	2014-11-12	0.185162704284116
"11260"	"SKUKCONST"	2014-11-12	0.000483207638773837
"11323"	"ARBEA"	2014-11-03	0.0575007002447619
"11324"	"AS17"	2014-11-03	0
"11325"	"AS4"	2014-11-03	0.921789662956385
"11326"	"ASFO"	2014-11-03	0.998693576666328
"11327"	"CBFO"	2014-11-03	0.00382275432885094
"11328"	"DBFO"	2014-11-03	0.00875192971519308
"11329"	"EBIOM"	2014-11-03	1.00114347809156
"11330"	"EEFO"	2014-11-03	0.999230366373041
"11331"	"EQIO"	2014-11-03	0.00065195248290853
"11332"	"FOUND3GTAA"	2014-11-03	1.56880391581931
"11333"	"FOUND3SAA"	2014-11-03	1.39135939794425
"11607"	"ARBEA"	2014-10-28	0.0142532783853071
"11608"	"AS17"	2014-10-28	0
"11609"	"AS4"	2014-10-28	0.920518326524649
"11610"	"ASFO"	2014-10-28	0.997240796122585
"11611"	"CBFO"	2014-10-28	0.00168633797656596
"11612"	"DBFO"	2014-10-28	0.00756769621363225
"11613"	"EBIOM"	2014-10-28	1.00119917234688
"11614"	"EEFO"	2014-10-28	0.992210176922557
"11615"	"EQIO"	2014-10-28	0.000671644939590615
"11616"	"FOUND3GTAA"	2014-10-28	1.41080829819829
"11617"	"FOUND3SAA"	2014-10-28	1.44806350295457
"11618"	"FOUND4GTAA"	2014-10-28	1.39502051308745
"11619"	"FOUND4SAA"	2014-10-28	2.14575785640951
"11620"	"FOUND5GTAA"	2014-10-28	1.39395533972937
"11621"	"FOUND5SAA"	2014-10-28	1.85891893749992
"11622"	"FOUNDDBFO"	2014-10-28	0.0077071999304697
"11623"	"FOUNDEURXUK"	2014-10-28	0.998238790944075
"11624"	"FOUNDGEMEQ"	2014-10-28	0.0106061586748307
"11625"	"FOUNDGSBO"	2014-10-28	0.524202627800372
"17780"	"ARBEA"	2015-02-26	0.0080476528428225
"17781"	"AS17"	2015-02-26	0
"17782"	"AS4"	2015-02-26	0.916686447638646
"17783"	"ASFO"	2015-02-26	0.980219016050601
"17784"	"CBAL"	2015-02-26	0.267374644257808
"17785"	"CBAP"	2015-02-26	0.213719213659261
"17786"	"CBFO"	2015-02-26	0.00302305099511052
"17787"	"CCON"	2015-02-26	0.250683292516
"17788"	"CCOP"	2015-02-26	0.102556864314647
"17789"	"CDYN"	2015-02-26	0.336351288677249
"17790"	"CDYP"	2015-02-26	0.315868327420503
"17791"	"CMOD"	2015-02-26	0.342217580779886
"17792"	"CMOP"	2015-02-26	0.272692164473358
"17793"	"CSTI"	2015-02-26	0.231516064809052
"17794"	"DBFO"	2015-02-26	0.00800836910975915
"17795"	"EBIOM"	2015-02-26	0.999990657415706
"17796"	"EEFO"	2015-02-26	0.994696691533634
"17797"	"EQIO"	2015-02-26	0.000872164378038169
"17798"	"EURSCOFF"	2015-02-26	0.276484350567514
"17799"	"FOUND3GTAA"	2015-02-26	3.2054227171192
"17800"	"FOUND3SAA"	2015-02-26	1.05011356732819
"17801"	"FOUND4GTAA"	2015-02-26	3.24768096790156
"17802"	"FOUND4SAA"	2015-02-26	1.21218752522624
"17803"	"FOUND5GTAA"	2015-02-26	3.07689238320108
"17804"	"FOUND5SAA"	2015-02-26	1.54682299821095
"17805"	"FOUNDDBFO"	2015-02-26	0.00710387224966219
"17806"	"FOUNDEURXUK"	2015-02-26	0.999969740943607
"17807"	"FOUNDGEMEQ"	2015-02-26	6.07765875613969e-06
"17808"	"FOUNDGSBO"	2015-02-26	0.0601079813141423
"17809"	"FOUNDUKALPHA"	2015-02-26	0.00189444973536941
"17810"	"FOUNDUKEQ"	2015-02-26	0.00202072996757956
"17811"	"FRGBF"	2015-02-26	0.514392655453633
"17812"	"GEAR"	2015-02-26	0.0338534203931272
"17813"	"GEFO"	2015-02-26	0.917636038850629
"17814"	"GSAF"	2015-02-26	0.0541583471530598
"17815"	"GSBO"	2015-02-26	0.0644422556744694
"17816"	"HBOS"	2015-02-26	1.00458939525239
"17817"	"JSFO"	2015-02-26	1.00218966098399
"17818"	"MIHYB"	2015-02-26	0.0284362553782126
"17819"	"NAEO"	2015-02-26	0.994724953327245
"17820"	"OMDUS"	2015-02-26	0.000583239263490195
"17821"	"OMGB"	2015-02-26	0.128273665516794
"17822"	"OMTSY"	2015-02-26	0
"17823"	"OMUKALPHA"	2015-02-26	0.000547743473172631
"17824"	"SFSYPT"	2015-02-26	0.995550058560767
"17825"	"SKAN"	2015-02-26	1.89565857129539e-08
"17826"	"SKASIANEQ"	2015-02-26	0.861151554446897
"17827"	"SKDIV"	2015-02-26	0.0871709889785878
"17828"	"SKEUREQ"	2015-02-26	0.465135587336829
"17829"	"SKGBLBND"	2015-02-26	0.4756315813713
"17830"	"SKGCHNEQ"	2015-02-26	0.876971077108959
"17831"	"SKGEN34"	2015-02-26	0.0608539893965064
"17832"	"SKGEN36"	2015-02-26	0.0662514808315084
"17833"	"SKGEN44"	2015-02-26	0.0592414527618743
"17834"	"SKGEN46"	2015-02-26	0.0556661678451336
"17835"	"SKGEQ"	2015-02-26	0.419969675581344
"17836"	"SKINTDIV"	2015-02-26	0.238376296051219
"17837"	"SKINTGRW"	2015-02-26	0.170104738200126
"17838"	"SKJPNEQ"	2015-02-26	0.00366145046788173
"17839"	"SKPACEQ"	2015-02-26	1.01092830071623
"17840"	"SKSPEC3"	2015-02-26	0.0437702730062261
